"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"mclust","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","6.0.0",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"mediation","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.5.0",NA,"R (>= 2.15.1), MASS, Matrix, mvtnorm, sandwich","lpSolve, Hmisc, lme4 (>= 1.0), stats, graphics, grDevices,
utils, boot",NA,"mgcv, quantreg, VGAM, SuppDists, survival, parallel,
testthat, speedglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"memoise","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"memuse","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.2-3",NA,"R (>= 3.0.0)","methods, utils",NA,NA,NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"metadat","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2-0",NA,"R (>= 4.0.0)","utils, tools, mathjaxr",NA,"metafor, numDeriv, BiasedUrn, dfoptim, igraph, ape, testthat,
digest, lme4, clubSandwich, meta, netmeta, mvtnorm, gridExtra,
rms",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"metafor","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.2-0",NA,"R (>= 4.0.0), methods, Matrix, metadat, numDeriv","stats, utils, graphics, grDevices, nlme, mathjaxr, pbapply",NA,"lme4, pracma, minqa, nloptr, dfoptim, ucminf, lbfgsb3c,
subplex, BB, Rsolnp, alabama, Rcgmin, Rvmmin, optimParallel,
CompQuadForm, mvtnorm, BiasedUrn, Epi, survival, GLMMadaptive,
glmmTMB, multcomp, gsl, sp, ape, boot, clubSandwich, crayon,
R.rsp, testthat, rmarkdown, wildmeta, emmeans, estmeansd,
metaBLUE",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"methods","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.3.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"mfx","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2-2",NA,"stats, sandwich, lmtest, MASS, betareg",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.1"
"mgcv","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.8-42","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"mice","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","3.16.0",NA,"R (>= 2.10.0)","broom, dplyr, generics, glmnet, graphics, grDevices, lattice,
methods, mitml, nnet, Rcpp, rpart, rlang, stats, tidyr, utils","cpp11, Rcpp","broom.mixed, future, furrr, haven, knitr, lme4, MASS,
miceadds, pan, parallelly, purrr, ranger, randomForest,
rmarkdown, rstan, survival, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"microbenchmark","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.4.10",NA,NA,"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"mime","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.3.0"
"miniUI","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"minqa","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.5",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"misc3d","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.9-1",NA,NA,"grDevices, graphics, stats, tcltk",NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"miscTools","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.6-28",NA,"R (>= 2.14.0)","digest",NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"mitml","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.4-5",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, methods, utils",NA,"mice, miceadds, Amelia, lme4, nlme, lavaan, geepack, glmmTMB,
survival, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"mitools","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"mlogit","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.1-1",NA,"R (>= 2.10), dfidx","Formula, zoo, lmtest, statmod, MASS, Rdpack",NA,"knitr, car, nnet, lattice, AER, ggplot2, texreg, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"mnormt","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.1.1",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"mockery","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.4.3",NA,NA,"testthat",NA,"knitr, R6, rmarkdown (>= 1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"mockr","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.2.1",NA,NA,"rlang, withr",NA,"covr, fs, knitr, pkgload, rmarkdown, testthat, usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"modelbased","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.8.6",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), datawizard (>= 0.6.2), effectsize (>=
0.8.1), insight (>= 0.18.5), parameters (>= 0.19.0),
performance (>= 0.10.0), graphics, stats, utils",NA,"brms, correlation, emmeans (>= 1.8.3), gamm4, gganimate,
ggplot2, glmmTMB, knitr, lme4, logspline, marginaleffects,
mgcv, patchwork, poorman, report, rmarkdown, rstanarm, rtdists,
see (>= 0.7.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"modeldata","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.0",NA,"R (>= 3.4)","dplyr, MASS, purrr, rlang, tibble",NA,"covr, testthat (>= 3.0.0), ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"modelenv","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.1",NA,NA,"glue, rlang, tibble, vctrs",NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ModelMetrics","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"modelr","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"modeltests","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.4",NA,"R (>= 3.1)","dplyr (>= 0.7.6), generics, purrr (>= 0.2.5), testthat (>=
2.0.0), tibble (>= 3.0.0)",NA,"covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"modeltools","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"moments","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.14.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"mondate","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.10.02",NA,"utils, methods, R (>= 3.0.0)",NA,NA,"zoo",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"monochromeR","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.4",NA,NA,"ggplot2, magrittr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"mosaic","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.8.4.2",NA,"R (>= 3.0.0),","dplyr, lattice (>= 0.20-21), ggformula, mosaicData, Matrix,
mosaicCore (>= 0.7.0), ggplot2, rlang (>= 0.4.7), purrr, MASS,
grid, tidyr, methods, utils",NA,"ggstance, ggridges, vdiffr, lubridate, magrittr, NHANES,
RCurl, sp, maptools, vcd, testthat, knitr, tools, parallel,
mapproj, rgl, rmarkdown, covr, formatR, palmerpenguins,
ggrepel, readr, ggdendro, gridExtra, splines, latticeExtra,
glue, broom, leaflet","manipulate","GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"mosaicCore","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.9.2.1",NA,"R (>= 3.3.0)","stats, dplyr, rlang, tidyr, MASS",NA,"mosaicData, mosaic, ggformula, NHANES, testthat, mosaicCalc
(>= 0.5.9)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"mosaicData","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.20.3",NA,"R (>= 3.0.0)",NA,NA,"lattice, mosaic, reshape2, ggplot2, dplyr, tidyr, ggformula",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"muhaz","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2.6.4",NA,"R(>= 2.3)","survival",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.3.1"
"multcomp","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.4-25",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"multcompView","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1-9",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"multicool","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1-12",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"munsell","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"mvtnorm","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.2-2",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"nanotime","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.3.7",NA,NA,"methods, bit64, RcppCCTZ (>= 0.2.9), zoo","Rcpp, RcppCCTZ, RcppDate","tinytest, data.table, xts",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"NbClust","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","3.0.1",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"neonUtilities","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.3.0",NA,"R (>= 3.6)","httr, jsonlite, downloader, data.table, utils, R.utils, stats,
tidyr, stringr, pbapply, parallel, curl",NA,"rhdf5, terra, testthat, fasttime",NA,"AGPL-3",NA,NA,NA,NA,"no","4.3.1"
"network","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.18.1",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"nFactors","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.4.1.1",NA,"R (>= 3.5.0), lattice","stats, MASS, psych",NA,"testthat",NA,"GPL (>= 3.5.0)",NA,NA,NA,NA,"no","4.3.1"
"nleqslv","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","3.3.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"nlme","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","3.1-162","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"nloptr","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0.3",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"nnet","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"numDeriv","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"nycflights13","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"officer","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.6.2",NA,NA,"grDevices, stats, graphics, utils, zip (>= 2.1.0), xml2 (>=
1.1.0), openssl, R6, uuid, ragg",NA,"testthat, devEMF, ggplot2, rmarkdown, doconv (>= 0.3.0),
knitr, rsvg, magick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"opdisDownsampling","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.8.2",NA,"R (>= 3.5.0)","parallel, graphics, methods, stats, caTools, pracma,
twosamples, utils, benchmarkme, memuse, doParallel, foreach",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"openssl","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.1.0",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"openxlsx","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.2.5.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"orcutt","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.3",NA,"lmtest","stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"ordinal","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2022.11-16",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"packrat","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.9.1",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"pacman","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"pak","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.5.1",NA,"R (>= 3.2)","tools, utils",NA,"callr (>= 3.7.0), cli (>= 3.2.0), covr, curl (>= 4.3.2), desc
(>= 1.4.1), digest, distro, filelock (>= 1.0.2), gitcreds, glue
(>= 1.6.2), mockery, pingr, jsonlite (>= 1.8.0), pkgcache (>=
2.0.4), pkgdepends (>= 0.4.0), pkgsearch (>= 3.1.0),
prettyunits, processx (>= 3.8.1), ps (>= 1.6.0), rprojroot (>=
2.0.2), rstudioapi, testthat, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"paletteer","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.5.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"palmerpenguins","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"pan","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.9",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"pander","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pandoc","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.2.0",NA,"R (>= 3.5.0)","fs, rappdirs, rlang (>= 1.0.1)",NA,"covr, gh, rmarkdown (>= 2.14), testthat (>= 3.0.0), tibble,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"parallel","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","4.3.1","base",NA,"tools, compiler",NA,"methods","snow, Rmpi","Part of R 4.3.1",NA,NA,NA,NA,"yes","4.3.1"
"parallelly","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.36.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.0"
"parameters","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.21.1",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), datawizard (>= 0.7.0), insight (>=
0.19.2), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor, BayesFM, bbmle, betareg, BH,
biglm, blme, boot, brglm2, brms, broom, cAIC4, car, carData,
cgam, ClassDiscovery, clubSandwich, cluster, coda, cplm,
dbscan, domir (>= 0.2.0), drc, DRR, effectsize (>= 0.8.2),
EGAnet (>= 0.7), emmeans (>= 1.7.0), estimatr, factoextra,
FactoMineR, fastICA, fixest, fpc, gam, gamlss, gee, geepack,
ggeffects (>= 1.2.0), ggplot2, GLMMadaptive, glmmTMB,
GPArotation, gt, haven, httr, Hmisc, ivprobit, ivreg, knitr,
lavaan, lfe, lm.beta, lme4, lmerTest, lmtest, logspline, lqmm,
M3C, marginaleffects (>= 0.10.0), MASS, Matrix, mclogit,
mclust, MCMCglmm, mediation, merDeriv, metaBMA, metafor, mfx,
mgcv, mice, mmrm, multcomp, MuMIn, NbClust, nFactors,
nestedLogit, nlme, nnet, openxlsx, ordinal, panelr, pbkrtest,
PCDimension, performance (>= 0.10.1), plm, PMCMRplus, poorman,
posterior, PROreg, pscl, psych, pvclust, quantreg,
randomForest, rmarkdown, rms, rstanarm, sandwich, see (>=
0.7.5), sparsepca, survey, survival, testthat, tidyselect, TMB,
truncreg, VGAM, withr, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"parsedate","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.3.1",NA,NA,NA,NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"parsnip","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.1.1",NA,"R (>= 3.5)","cli, dplyr (>= 1.1.0), generics (>= 0.1.2), ggplot2, globals,
glue, hardhat (>= 1.1.0), lifecycle, magrittr, pillar,
prettyunits, purrr (>= 1.0.0), rlang (>= 0.3.1), stats, tibble
(>= 2.1.1), tidyr (>= 1.3.0), utils, vctrs (>= 0.6.0), withr",NA,"C50, covr, dials (>= 1.1.0), earth, ggrepel, keras, kernlab,
kknn, knitr, LiblineaR, MASS, Matrix, mgcv, modeldata, nlme,
prodlim, ranger (>= 0.12.0), remotes, rmarkdown, rpart,
sparklyr (>= 1.0.0), survival, tensorflow, testthat (>= 3.0.0),
xgboost (>= 1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"partitions","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.10-7",NA,"R (>= 3.6.0)","gmp, polynom, sets, mathjaxr, Rdpack",NA,"testthat",NA,"GPL",NA,NA,NA,NA,"yes","4.3.1"
"PASWR","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.3",NA,"lattice","MASS, e1071",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"patchwork","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.1.3",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pbapply","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.7-2",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"pbivnorm","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"pbkrtest","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"pcaPP","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0-3",NA,NA,"mvtnorm, methods",NA,"robustbase",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"pdftools","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","3.3.3",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"performance","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.10.4",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.19.1), datawizard (>=
0.7.0), methods, stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, CompQuadForm, correlation, cplm,
dbscan, estimatr, fixest, forecast, gamm4, ggplot2, glmmTMB,
graphics, Hmisc, httr, ICS, ICSOutlier, ISLR, ivreg, lavaan,
lme4, lmtest, loo, MASS, Matrix, mclogit, mclust, metadat,
metafor, mgcv, mlogit, multimode, nlme, nonnest2, ordinal,
parallel, parameters (>= 0.20.3), patchwork, pscl, psych,
randomForest, rmarkdown, rstanarm, rstantools, sandwich, see
(>= 0.7.5), survey, survival, testthat, tweedie, VGAM, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"permute","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"pillar","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pingr","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0.2",NA,NA,"processx, utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"pkgbuild","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","1.4.2",NA,"R (>= 3.4)","callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pkgconfig","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"pkgdown","C:/Users/gcook/_portable_apps/R/R-4.3.1/library","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
